episode,winner,PPO,Random
484,Random,-1,1
485,PPO,1,-1
486,PPO,1,-1
487,PPO,1,-1
488,Random,-1,1
489,Random,-1,1
490,PPO,1,-1
491,PPO,1,-1
492,Random,-1,1
493,Random,-1,1
494,PPO,1,-1
495,Random,-1,1
496,Random,-1,1
497,PPO,1,-1
498,PPO,1,-1
499,Random,-1,1
500,PPO,1,-1
501,Random,-1,1
502,Random,-1,1
503,Random,-1,1
504,PPO,1,-1
505,Random,-1,1
506,PPO,1,-1
507,PPO,1,-1
508,PPO,1,-1
509,Random,-1,1
510,PPO,1,-1
511,PPO,1,-1
512,PPO,1,-1
513,Random,-1,1
514,Random,-1,1
515,PPO,1,-1
516,PPO,1,-1
517,PPO,1,-1
518,PPO,1,-1
519,PPO,1,-1
520,PPO,1,-1
521,PPO,1,-1
522,PPO,1,-1
523,PPO,1,-1
524,PPO,1,-1
525,Random,-1,1
526,Random,-1,1
527,PPO,1,-1
528,PPO,1,-1
529,PPO,1,-1
530,Random,-1,1
531,PPO,1,-1
532,draw,0,0
533,PPO,1,-1
534,PPO,1,-1
535,PPO,1,-1
536,PPO,1,-1
537,Random,-1,1
538,PPO,1,-1
539,PPO,1,-1
540,Random,-1,1
541,Random,-1,1
542,PPO,1,-1
543,PPO,1,-1
544,PPO,1,-1
545,PPO,1,-1
546,Random,-1,1
547,Random,-1,1
548,Random,-1,1
549,Random,-1,1
550,PPO,1,-1
551,PPO,1,-1
552,PPO,1,-1
553,PPO,1,-1
554,Random,-1,1
555,PPO,1,-1
556,Random,-1,1
557,Random,-1,1
558,PPO,1,-1
559,PPO,1,-1
560,PPO,1,-1
561,PPO,1,-1
562,PPO,1,-1
563,PPO,1,-1
564,PPO,1,-1
565,PPO,1,-1
566,PPO,1,-1
567,PPO,1,-1
568,PPO,1,-1
569,PPO,1,-1
570,PPO,1,-1
571,PPO,1,-1
572,PPO,1,-1
573,PPO,1,-1
574,PPO,1,-1
575,PPO,1,-1
576,PPO,1,-1
577,Random,-1,1
578,PPO,1,-1
579,PPO,1,-1
580,Random,-1,1
581,PPO,1,-1
582,PPO,1,-1
583,Random,-1,1
584,PPO,1,-1
585,PPO,1,-1
586,PPO,1,-1
587,PPO,1,-1
588,Random,-1,1
589,PPO,1,-1
590,PPO,1,-1
591,PPO,1,-1
592,PPO,1,-1
593,PPO,1,-1
594,PPO,1,-1
595,PPO,1,-1
596,PPO,1,-1
597,PPO,1,-1
598,PPO,1,-1
599,PPO,1,-1
600,PPO,1,-1
601,PPO,1,-1
602,PPO,1,-1
603,Random,-1,1
604,PPO,1,-1
605,PPO,1,-1
606,PPO,1,-1
607,PPO,1,-1
608,PPO,1,-1
609,PPO,1,-1
610,PPO,1,-1
611,PPO,1,-1
612,Random,-1,1
613,Random,-1,1
614,PPO,1,-1
615,draw,0,0
616,Random,-1,1
617,PPO,1,-1
618,PPO,1,-1
619,PPO,1,-1
620,PPO,1,-1
621,PPO,1,-1
622,Random,-1,1
623,PPO,1,-1
624,draw,0,0
625,PPO,1,-1
626,Random,-1,1
627,PPO,1,-1
628,PPO,1,-1
629,PPO,1,-1
630,Random,-1,1
631,PPO,1,-1
632,PPO,1,-1
633,PPO,1,-1
634,PPO,1,-1
635,PPO,1,-1
636,PPO,1,-1
637,PPO,1,-1
638,PPO,1,-1
639,Random,-1,1
640,PPO,1,-1
641,Random,-1,1
642,PPO,1,-1
643,PPO,1,-1
644,PPO,1,-1
645,PPO,1,-1
646,PPO,1,-1
647,PPO,1,-1
648,Random,-1,1
649,PPO,1,-1
650,PPO,1,-1
651,PPO,1,-1
652,PPO,1,-1
653,PPO,1,-1
654,PPO,1,-1
655,PPO,1,-1
656,PPO,1,-1
657,PPO,1,-1
658,Random,-1,1
659,PPO,1,-1
660,PPO,1,-1
661,PPO,1,-1
662,PPO,1,-1
663,PPO,1,-1
664,PPO,1,-1
665,PPO,1,-1
666,PPO,1,-1
667,Random,-1,1
668,PPO,1,-1
669,Random,-1,1
670,PPO,1,-1
671,Random,-1,1
672,PPO,1,-1
673,PPO,1,-1
674,PPO,1,-1
675,PPO,1,-1
676,PPO,1,-1
677,PPO,1,-1
678,PPO,1,-1
679,Random,-1,1
680,Random,-1,1
681,PPO,1,-1
682,PPO,1,-1
683,PPO,1,-1
684,PPO,1,-1
685,PPO,1,-1
686,PPO,1,-1
687,PPO,1,-1
688,PPO,1,-1
689,PPO,1,-1
690,PPO,1,-1
691,PPO,1,-1
692,PPO,1,-1
693,PPO,1,-1
694,PPO,1,-1
695,PPO,1,-1
696,PPO,1,-1
697,PPO,1,-1
698,PPO,1,-1
699,PPO,1,-1
