episode,winner,PPO,PPO_2
490,PPO,1,-1
491,PPO_2,-1,1
492,PPO_2,-1,1
493,PPO_2,-1,1
494,PPO_2,-1,1
495,PPO_2,-1,1
496,PPO_2,-1,1
497,PPO,1,-1
498,PPO,1,-1
499,PPO_2,-1,1
500,PPO_2,-1,1
501,PPO_2,-1,1
502,PPO_2,-1,1
503,PPO_2,-1,1
504,PPO_2,-1,1
505,PPO_2,-1,1
506,PPO_2,-1,1
507,PPO_2,-1,1
508,PPO,1,-1
509,PPO_2,-1,1
510,PPO,1,-1
511,PPO_2,-1,1
512,PPO,1,-1
513,PPO_2,-1,1
514,PPO,1,-1
515,PPO,1,-1
516,PPO,1,-1
517,PPO_2,-1,1
518,PPO,1,-1
519,PPO_2,-1,1
520,PPO_2,-1,1
521,PPO_2,-1,1
522,PPO,1,-1
523,PPO,1,-1
524,PPO_2,-1,1
525,PPO,1,-1
526,PPO,1,-1
527,PPO_2,-1,1
528,PPO_2,-1,1
529,PPO_2,-1,1
530,PPO_2,-1,1
531,PPO,1,-1
532,PPO_2,-1,1
533,PPO_2,-1,1
534,PPO_2,-1,1
535,PPO,1,-1
536,PPO_2,-1,1
537,PPO_2,-1,1
538,PPO_2,-1,1
539,PPO_2,-1,1
540,PPO,1,-1
541,PPO_2,-1,1
542,PPO_2,-1,1
543,PPO_2,-1,1
544,PPO,1,-1
545,PPO,1,-1
546,PPO_2,-1,1
547,PPO_2,-1,1
548,PPO_2,-1,1
549,PPO_2,-1,1
550,PPO_2,-1,1
551,PPO_2,-1,1
552,PPO_2,-1,1
553,PPO,1,-1
554,PPO,1,-1
555,PPO,1,-1
556,PPO_2,-1,1
557,PPO_2,-1,1
558,PPO_2,-1,1
559,PPO,1,-1
560,PPO,1,-1
561,PPO,1,-1
562,PPO_2,-1,1
563,PPO_2,-1,1
564,PPO_2,-1,1
565,PPO,1,-1
566,PPO_2,-1,1
567,PPO_2,-1,1
568,PPO_2,-1,1
569,PPO_2,-1,1
570,PPO_2,-1,1
571,PPO,1,-1
572,PPO,1,-1
573,PPO,1,-1
574,PPO_2,-1,1
575,PPO_2,-1,1
576,PPO_2,-1,1
577,PPO_2,-1,1
578,PPO_2,-1,1
579,PPO_2,-1,1
580,PPO,1,-1
581,PPO,1,-1
582,PPO_2,-1,1
583,PPO,1,-1
584,PPO,1,-1
585,PPO,1,-1
586,PPO,1,-1
587,PPO_2,-1,1
588,PPO_2,-1,1
589,PPO,1,-1
590,PPO_2,-1,1
591,PPO,1,-1
592,PPO_2,-1,1
593,PPO,1,-1
594,PPO,1,-1
595,PPO,1,-1
596,PPO,1,-1
597,PPO_2,-1,1
598,PPO,1,-1
599,PPO_2,-1,1
600,PPO,1,-1
601,PPO,1,-1
602,PPO_2,-1,1
603,PPO,1,-1
604,PPO,1,-1
605,PPO,1,-1
606,PPO,1,-1
607,PPO_2,-1,1
608,PPO,1,-1
609,PPO_2,-1,1
610,PPO,1,-1
611,PPO_2,-1,1
612,PPO,1,-1
613,PPO_2,-1,1
614,PPO,1,-1
615,PPO,1,-1
616,PPO_2,-1,1
617,PPO,1,-1
618,PPO_2,-1,1
619,PPO_2,-1,1
620,PPO_2,-1,1
621,PPO_2,-1,1
622,PPO,1,-1
623,PPO,1,-1
624,PPO,1,-1
625,PPO_2,-1,1
626,PPO,1,-1
627,PPO_2,-1,1
628,PPO_2,-1,1
629,PPO,1,-1
630,PPO_2,-1,1
631,PPO_2,-1,1
632,PPO_2,-1,1
633,PPO,1,-1
634,PPO_2,-1,1
635,PPO_2,-1,1
636,PPO,1,-1
637,PPO,1,-1
638,PPO,1,-1
639,PPO_2,-1,1
640,PPO_2,-1,1
641,PPO,1,-1
642,PPO_2,-1,1
643,PPO_2,-1,1
644,PPO_2,-1,1
645,PPO_2,-1,1
646,PPO,1,-1
647,PPO_2,-1,1
648,PPO,1,-1
649,PPO,1,-1
650,PPO,1,-1
651,PPO_2,-1,1
652,PPO,1,-1
653,PPO_2,-1,1
654,PPO_2,-1,1
655,PPO,1,-1
656,PPO,1,-1
657,PPO_2,-1,1
658,PPO,1,-1
659,PPO,1,-1
660,PPO,1,-1
661,PPO_2,-1,1
662,PPO_2,-1,1
663,PPO,1,-1
664,PPO,1,-1
665,PPO_2,-1,1
666,PPO,1,-1
667,PPO_2,-1,1
668,PPO,1,-1
669,PPO_2,-1,1
670,PPO,1,-1
671,PPO_2,-1,1
672,PPO,1,-1
673,PPO,1,-1
674,PPO_2,-1,1
675,PPO,1,-1
676,PPO_2,-1,1
677,PPO,1,-1
678,PPO,1,-1
679,PPO_2,-1,1
680,PPO_2,-1,1
681,PPO_2,-1,1
682,PPO_2,-1,1
683,PPO_2,-1,1
684,PPO,1,-1
685,PPO_2,-1,1
686,PPO,1,-1
687,PPO,1,-1
688,PPO_2,-1,1
689,PPO_2,-1,1
690,PPO,1,-1
691,PPO,1,-1
692,PPO_2,-1,1
693,PPO,1,-1
694,PPO,1,-1
695,PPO,1,-1
696,PPO,1,-1
697,PPO,1,-1
698,PPO,1,-1
699,PPO_2,-1,1
700,PPO_2,-1,1
701,PPO_2,-1,1
702,PPO_2,-1,1
703,PPO_2,-1,1
704,PPO,1,-1
705,PPO,1,-1
706,PPO_2,-1,1
707,PPO_2,-1,1
708,PPO,1,-1
709,PPO_2,-1,1
710,PPO_2,-1,1
711,PPO_2,-1,1
712,PPO_2,-1,1
713,PPO_2,-1,1
714,PPO_2,-1,1
715,PPO,1,-1
716,PPO,1,-1
717,PPO,1,-1
718,PPO_2,-1,1
719,PPO_2,-1,1
720,PPO,1,-1
721,PPO_2,-1,1
722,PPO_2,-1,1
723,PPO_2,-1,1
724,PPO_2,-1,1
725,PPO_2,-1,1
726,PPO_2,-1,1
727,PPO_2,-1,1
728,PPO,1,-1
729,PPO,1,-1
730,PPO_2,-1,1
731,PPO_2,-1,1
732,PPO_2,-1,1
733,PPO_2,-1,1
734,PPO_2,-1,1
735,PPO_2,-1,1
736,PPO_2,-1,1
737,PPO_2,-1,1
738,PPO_2,-1,1
739,PPO,1,-1
740,PPO_2,-1,1
741,PPO_2,-1,1
742,PPO,1,-1
743,PPO,1,-1
744,PPO_2,-1,1
745,PPO,1,-1
746,PPO,1,-1
747,PPO_2,-1,1
748,PPO_2,-1,1
749,PPO_2,-1,1
750,PPO_2,-1,1
751,PPO,1,-1
752,PPO_2,-1,1
753,PPO_2,-1,1
754,PPO_2,-1,1
755,PPO_2,-1,1
756,PPO,1,-1
757,PPO_2,-1,1
758,PPO_2,-1,1
759,PPO_2,-1,1
760,PPO_2,-1,1
761,PPO,1,-1
762,PPO_2,-1,1
763,PPO_2,-1,1
764,PPO_2,-1,1
765,PPO_2,-1,1
766,PPO,1,-1
767,PPO_2,-1,1
768,PPO_2,-1,1
769,PPO_2,-1,1
770,PPO_2,-1,1
771,PPO,1,-1
772,PPO_2,-1,1
773,PPO,1,-1
774,PPO_2,-1,1
775,PPO_2,-1,1
776,PPO_2,-1,1
777,PPO_2,-1,1
778,PPO_2,-1,1
779,PPO,1,-1
780,PPO,1,-1
781,PPO_2,-1,1
782,PPO_2,-1,1
783,PPO_2,-1,1
784,PPO_2,-1,1
785,PPO_2,-1,1
786,PPO_2,-1,1
787,PPO_2,-1,1
788,PPO_2,-1,1
789,PPO_2,-1,1
790,PPO_2,-1,1
791,PPO_2,-1,1
792,PPO_2,-1,1
793,PPO_2,-1,1
794,PPO_2,-1,1
795,PPO_2,-1,1
796,PPO,1,-1
797,PPO_2,-1,1
798,PPO,1,-1
799,PPO_2,-1,1
800,PPO_2,-1,1
801,PPO,1,-1
802,PPO,1,-1
803,PPO_2,-1,1
804,PPO,1,-1
805,PPO_2,-1,1
806,PPO_2,-1,1
807,PPO_2,-1,1
808,PPO_2,-1,1
809,PPO_2,-1,1
810,PPO,1,-1
811,PPO,1,-1
812,PPO,1,-1
813,PPO_2,-1,1
814,PPO_2,-1,1
815,PPO_2,-1,1
816,PPO_2,-1,1
817,PPO_2,-1,1
818,PPO,1,-1
819,PPO_2,-1,1
820,PPO,1,-1
821,PPO,1,-1
822,PPO_2,-1,1
823,PPO,1,-1
824,PPO,1,-1
825,PPO_2,-1,1
826,PPO_2,-1,1
827,PPO_2,-1,1
828,PPO_2,-1,1
829,PPO,1,-1
830,PPO,1,-1
831,PPO_2,-1,1
832,PPO,1,-1
833,PPO_2,-1,1
834,PPO,1,-1
835,PPO,1,-1
836,PPO,1,-1
837,PPO,1,-1
838,PPO_2,-1,1
839,PPO,1,-1
840,PPO_2,-1,1
841,PPO,1,-1
842,PPO_2,-1,1
843,PPO,1,-1
844,PPO,1,-1
845,PPO_2,-1,1
846,PPO_2,-1,1
847,PPO_2,-1,1
848,PPO,1,-1
849,PPO_2,-1,1
850,PPO,1,-1
851,PPO,1,-1
852,PPO_2,-1,1
853,PPO,1,-1
854,PPO,1,-1
855,PPO,1,-1
856,PPO,1,-1
857,PPO_2,-1,1
858,PPO_2,-1,1
859,PPO_2,-1,1
860,PPO_2,-1,1
861,PPO,1,-1
862,PPO,1,-1
863,PPO,1,-1
864,PPO,1,-1
865,PPO_2,-1,1
866,PPO_2,-1,1
867,PPO_2,-1,1
868,PPO,1,-1
869,PPO_2,-1,1
870,PPO_2,-1,1
871,PPO,1,-1
872,PPO_2,-1,1
873,PPO_2,-1,1
874,PPO,1,-1
875,PPO,1,-1
876,PPO_2,-1,1
877,PPO,1,-1
878,PPO,1,-1
879,PPO_2,-1,1
880,PPO_2,-1,1
881,PPO_2,-1,1
882,PPO_2,-1,1
883,PPO,1,-1
884,PPO_2,-1,1
885,PPO_2,-1,1
886,PPO,1,-1
887,PPO,1,-1
888,PPO,1,-1
889,PPO,1,-1
890,PPO_2,-1,1
891,PPO_2,-1,1
892,PPO_2,-1,1
893,PPO,1,-1
894,PPO_2,-1,1
895,PPO_2,-1,1
896,PPO,1,-1
897,PPO,1,-1
898,PPO,1,-1
899,PPO_2,-1,1
900,PPO_2,-1,1
901,PPO_2,-1,1
902,PPO_2,-1,1
903,PPO_2,-1,1
904,PPO_2,-1,1
905,PPO_2,-1,1
906,PPO_2,-1,1
907,PPO,1,-1
908,PPO_2,-1,1
909,PPO_2,-1,1
910,PPO_2,-1,1
911,PPO_2,-1,1
912,PPO,1,-1
913,PPO_2,-1,1
914,PPO,1,-1
915,PPO_2,-1,1
916,PPO_2,-1,1
917,PPO_2,-1,1
918,PPO_2,-1,1
919,PPO_2,-1,1
920,PPO_2,-1,1
921,PPO_2,-1,1
922,PPO_2,-1,1
923,PPO_2,-1,1
924,PPO,1,-1
