episode,winner,DQN,DQN_2
924,draw,0,0
925,DQN_2,-1,1
926,draw,0,0
927,DQN_2,-1,1
928,draw,0,0
929,DQN_2,-1,1
930,DQN_2,-1,1
931,draw,0,0
932,draw,0,0
933,draw,0,0
934,draw,0,0
935,draw,0,0
936,DQN,1,-1
937,DQN,1,-1
938,DQN,1,-1
939,draw,0,0
940,draw,0,0
941,draw,0,0
942,draw,0,0
943,draw,0,0
944,DQN_2,-1,1
945,DQN_2,-1,1
946,draw,0,0
947,draw,0,0
948,draw,0,0
949,DQN,1,-1
950,draw,0,0
951,draw,0,0
952,draw,0,0
953,draw,0,0
954,draw,0,0
955,draw,0,0
956,draw,0,0
957,draw,0,0
958,draw,0,0
959,draw,0,0
960,draw,0,0
961,draw,0,0
962,DQN_2,-1,1
963,DQN_2,-1,1
964,draw,0,0
965,draw,0,0
966,draw,0,0
967,DQN_2,-1,1
968,draw,0,0
969,draw,0,0
970,DQN_2,-1,1
971,draw,0,0
972,DQN,1,-1
973,DQN_2,-1,1
974,DQN_2,-1,1
975,draw,0,0
976,draw,0,0
977,draw,0,0
978,DQN_2,-1,1
979,DQN_2,-1,1
980,draw,0,0
981,DQN_2,-1,1
982,draw,0,0
983,draw,0,0
984,DQN_2,-1,1
985,draw,0,0
986,draw,0,0
987,DQN_2,-1,1
988,DQN_2,-1,1
989,DQN,1,-1
990,draw,0,0
991,draw,0,0
992,draw,0,0
993,draw,0,0
994,draw,0,0
995,draw,0,0
996,DQN_2,-1,1
997,draw,0,0
998,draw,0,0
999,draw,0,0
1000,draw,0,0
1001,draw,0,0
1002,draw,0,0
1003,DQN,1,-1
1004,draw,0,0
1005,draw,0,0
1006,DQN_2,-1,1
1007,draw,0,0
1008,DQN,1,-1
1009,draw,0,0
1010,draw,0,0
1011,draw,0,0
1012,draw,0,0
1013,draw,0,0
1014,DQN,1,-1
1015,draw,0,0
1016,draw,0,0
1017,DQN_2,-1,1
1018,draw,0,0
1019,DQN,1,-1
1020,draw,0,0
1021,DQN_2,-1,1
1022,DQN,1,-1
1023,draw,0,0
1024,DQN,1,-1
1025,draw,0,0
1026,draw,0,0
1027,draw,0,0
1028,draw,0,0
1029,draw,0,0
1030,DQN,1,-1
1031,DQN_2,-1,1
1032,draw,0,0
1033,draw,0,0
1034,draw,0,0
1035,draw,0,0
1036,draw,0,0
1037,DQN_2,-1,1
1038,draw,0,0
1039,draw,0,0
1040,draw,0,0
1041,draw,0,0
1042,DQN_2,-1,1
1043,DQN_2,-1,1
1044,draw,0,0
1045,DQN,1,-1
1046,DQN_2,-1,1
1047,draw,0,0
1048,draw,0,0
1049,DQN_2,-1,1
1050,draw,0,0
1051,draw,0,0
1052,draw,0,0
1053,draw,0,0
1054,draw,0,0
1055,draw,0,0
1056,DQN_2,-1,1
1057,draw,0,0
1058,DQN_2,-1,1
1059,draw,0,0
1060,draw,0,0
1061,draw,0,0
1062,draw,0,0
1063,draw,0,0
1064,draw,0,0
1065,draw,0,0
1066,draw,0,0
1067,DQN,1,-1
1068,draw,0,0
1069,draw,0,0
1070,draw,0,0
1071,draw,0,0
1072,DQN_2,-1,1
1073,draw,0,0
1074,DQN_2,-1,1
1075,draw,0,0
1076,draw,0,0
1077,DQN,1,-1
1078,draw,0,0
1079,draw,0,0
1080,draw,0,0
1081,DQN,1,-1
1082,DQN,1,-1
1083,DQN,1,-1
1084,DQN,1,-1
1085,DQN,1,-1
1086,draw,0,0
1087,DQN,1,-1
1088,DQN,1,-1
1089,draw,0,0
1090,DQN_2,-1,1
1091,DQN,1,-1
1092,draw,0,0
1093,DQN,1,-1
1094,DQN,1,-1
1095,draw,0,0
1096,DQN,1,-1
1097,draw,0,0
1098,draw,0,0
1099,draw,0,0
1100,draw,0,0
1101,draw,0,0
1102,draw,0,0
1103,DQN_2,-1,1
1104,draw,0,0
1105,draw,0,0
1106,draw,0,0
1107,draw,0,0
1108,draw,0,0
1109,DQN_2,-1,1
1110,draw,0,0
1111,draw,0,0
1112,draw,0,0
1113,draw,0,0
1114,draw,0,0
1115,DQN_2,-1,1
1116,draw,0,0
1117,draw,0,0
1118,draw,0,0
1119,draw,0,0
1120,draw,0,0
1121,draw,0,0
1122,DQN,1,-1
1123,DQN,1,-1
1124,draw,0,0
1125,draw,0,0
1126,draw,0,0
1127,draw,0,0
1128,draw,0,0
1129,draw,0,0
1130,DQN,1,-1
1131,DQN_2,-1,1
1132,DQN_2,-1,1
1133,draw,0,0
1134,draw,0,0
1135,DQN,1,-1
1136,draw,0,0
1137,draw,0,0
1138,draw,0,0
1139,draw,0,0
1140,draw,0,0
1141,draw,0,0
1142,draw,0,0
1143,draw,0,0
1144,draw,0,0
1145,draw,0,0
1146,DQN_2,-1,1
1147,DQN_2,-1,1
1148,DQN_2,-1,1
1149,draw,0,0
1150,draw,0,0
1151,draw,0,0
1152,DQN_2,-1,1
1153,draw,0,0
1154,draw,0,0
1155,DQN_2,-1,1
1156,DQN_2,-1,1
1157,draw,0,0
1158,draw,0,0
1159,DQN_2,-1,1
1160,draw,0,0
1161,draw,0,0
1162,draw,0,0
1163,draw,0,0
1164,draw,0,0
1165,draw,0,0
1166,DQN_2,-1,1
1167,draw,0,0
1168,draw,0,0
1169,DQN_2,-1,1
1170,draw,0,0
1171,draw,0,0
1172,DQN_2,-1,1
1173,draw,0,0
1174,draw,0,0
1175,draw,0,0
1176,draw,0,0
1177,draw,0,0
1178,draw,0,0
1179,draw,0,0
1180,draw,0,0
1181,draw,0,0
1182,draw,0,0
1183,DQN_2,-1,1
1184,draw,0,0
1185,draw,0,0
1186,draw,0,0
1187,DQN,1,-1
1188,draw,0,0
1189,draw,0,0
1190,draw,0,0
1191,draw,0,0
1192,DQN_2,-1,1
1193,draw,0,0
1194,draw,0,0
1195,draw,0,0
1196,draw,0,0
1197,draw,0,0
1198,DQN,1,-1
1199,draw,0,0
1200,draw,0,0
1201,DQN_2,-1,1
1202,DQN,1,-1
1203,draw,0,0
1204,DQN,1,-1
1205,draw,0,0
1206,draw,0,0
1207,draw,0,0
1208,DQN,1,-1
1209,DQN,1,-1
1210,DQN,1,-1
1211,DQN,1,-1
1212,DQN,1,-1
1213,DQN,1,-1
1214,DQN,1,-1
1215,DQN,1,-1
1216,DQN,1,-1
1217,DQN,1,-1
1218,DQN_2,-1,1
1219,DQN,1,-1
