episode,winner,PHC,PHC_2
422,PHC,1,-1
423,PHC_2,-1,1
424,PHC,1,-1
425,PHC_2,-1,1
426,PHC_2,-1,1
427,PHC_2,-1,1
428,PHC,1,-1
429,PHC,1,-1
430,PHC,1,-1
431,PHC_2,-1,1
432,PHC_2,-1,1
433,PHC,1,-1
434,PHC,1,-1
435,PHC,1,-1
436,PHC_2,-1,1
437,PHC,1,-1
438,PHC,1,-1
439,PHC_2,-1,1
440,PHC_2,-1,1
441,PHC,1,-1
442,PHC,1,-1
443,PHC_2,-1,1
444,PHC_2,-1,1
445,PHC_2,-1,1
446,PHC,1,-1
447,PHC_2,-1,1
448,PHC,1,-1
449,PHC,1,-1
450,PHC_2,-1,1
451,PHC_2,-1,1
452,PHC,1,-1
453,PHC,1,-1
454,PHC,1,-1
455,PHC_2,-1,1
456,PHC,1,-1
457,PHC_2,-1,1
458,PHC_2,-1,1
459,PHC,1,-1
460,PHC_2,-1,1
461,PHC_2,-1,1
462,PHC_2,-1,1
463,PHC,1,-1
464,PHC,1,-1
465,PHC_2,-1,1
466,PHC_2,-1,1
467,PHC,1,-1
468,PHC,1,-1
469,PHC,1,-1
470,PHC_2,-1,1
471,PHC_2,-1,1
472,PHC,1,-1
473,PHC_2,-1,1
474,PHC,1,-1
475,PHC,1,-1
476,PHC,1,-1
477,PHC_2,-1,1
478,PHC,1,-1
479,PHC_2,-1,1
480,PHC_2,-1,1
481,PHC,1,-1
482,PHC_2,-1,1
483,PHC_2,-1,1
484,PHC_2,-1,1
485,PHC_2,-1,1
486,PHC,1,-1
487,PHC,1,-1
488,PHC,1,-1
489,PHC_2,-1,1
490,PHC,1,-1
491,PHC,1,-1
492,PHC_2,-1,1
493,PHC,1,-1
494,PHC_2,-1,1
495,PHC_2,-1,1
496,PHC_2,-1,1
497,PHC,1,-1
498,PHC,1,-1
499,PHC_2,-1,1
500,PHC_2,-1,1
501,PHC_2,-1,1
502,PHC_2,-1,1
503,PHC,1,-1
504,PHC_2,-1,1
505,PHC_2,-1,1
506,PHC,1,-1
507,PHC,1,-1
508,PHC_2,-1,1
509,PHC_2,-1,1
510,PHC,1,-1
511,PHC,1,-1
512,PHC_2,-1,1
513,PHC,1,-1
514,PHC,1,-1
515,PHC,1,-1
516,PHC,1,-1
517,PHC,1,-1
518,PHC,1,-1
519,PHC,1,-1
520,PHC,1,-1
521,PHC,1,-1
522,PHC_2,-1,1
523,PHC_2,-1,1
524,PHC,1,-1
525,PHC,1,-1
