episode,winner,MinimaxQ,Random
1001,Random,-1,1
1002,MinimaxQ,1,-1
1003,draw,0,0
1004,Random,-1,1
1005,MinimaxQ,1,-1
1006,draw,0,0
1007,draw,0,0
1008,draw,0,0
1009,Random,-1,1
1010,Random,-1,1
1011,draw,0,0
1012,draw,0,0
1013,Random,-1,1
1014,draw,0,0
1015,Random,-1,1
1016,Random,-1,1
1017,draw,0,0
1018,draw,0,0
1019,draw,0,0
1020,draw,0,0
1021,draw,0,0
1022,Random,-1,1
1023,draw,0,0
1024,Random,-1,1
1025,draw,0,0
1026,draw,0,0
1027,Random,-1,1
1028,draw,0,0
1029,draw,0,0
1030,MinimaxQ,1,-1
1031,Random,-1,1
1032,draw,0,0
1033,MinimaxQ,1,-1
1034,Random,-1,1
1035,MinimaxQ,1,-1
1036,draw,0,0
1037,draw,0,0
1038,draw,0,0
1039,draw,0,0
1040,Random,-1,1
1041,draw,0,0
1042,draw,0,0
1043,draw,0,0
1044,draw,0,0
1045,Random,-1,1
1046,Random,-1,1
1047,Random,-1,1
1048,draw,0,0
1049,draw,0,0
1050,Random,-1,1
1051,draw,0,0
1052,MinimaxQ,1,-1
1053,draw,0,0
1054,MinimaxQ,1,-1
1055,MinimaxQ,1,-1
1056,Random,-1,1
1057,Random,-1,1
1058,draw,0,0
1059,draw,0,0
1060,Random,-1,1
1061,draw,0,0
1062,MinimaxQ,1,-1
1063,draw,0,0
1064,draw,0,0
1065,MinimaxQ,1,-1
1066,Random,-1,1
1067,draw,0,0
1068,draw,0,0
1069,MinimaxQ,1,-1
1070,Random,-1,1
1071,draw,0,0
1072,Random,-1,1
1073,draw,0,0
1074,draw,0,0
1075,draw,0,0
1076,Random,-1,1
1077,MinimaxQ,1,-1
1078,draw,0,0
1079,draw,0,0
1080,draw,0,0
1081,draw,0,0
1082,draw,0,0
1083,MinimaxQ,1,-1
1084,draw,0,0
1085,draw,0,0
1086,MinimaxQ,1,-1
1087,Random,-1,1
1088,MinimaxQ,1,-1
1089,draw,0,0
1090,Random,-1,1
1091,draw,0,0
1092,MinimaxQ,1,-1
1093,draw,0,0
1094,draw,0,0
1095,draw,0,0
1096,Random,-1,1
1097,Random,-1,1
1098,draw,0,0
1099,Random,-1,1
1100,MinimaxQ,1,-1
1101,draw,0,0
1102,Random,-1,1
1103,draw,0,0
1104,draw,0,0
1105,draw,0,0
1106,MinimaxQ,1,-1
1107,draw,0,0
1108,MinimaxQ,1,-1
1109,Random,-1,1
1110,draw,0,0
1111,draw,0,0
1112,draw,0,0
1113,draw,0,0
1114,draw,0,0
1115,Random,-1,1
1116,Random,-1,1
1117,MinimaxQ,1,-1
1118,draw,0,0
1119,MinimaxQ,1,-1
1120,draw,0,0
1121,Random,-1,1
1122,Random,-1,1
1123,draw,0,0
1124,draw,0,0
1125,MinimaxQ,1,-1
1126,MinimaxQ,1,-1
1127,Random,-1,1
1128,draw,0,0
1129,draw,0,0
1130,draw,0,0
1131,MinimaxQ,1,-1
1132,Random,-1,1
1133,draw,0,0
1134,draw,0,0
1135,draw,0,0
1136,draw,0,0
1137,MinimaxQ,1,-1
1138,MinimaxQ,1,-1
1139,draw,0,0
1140,draw,0,0
1141,Random,-1,1
1142,draw,0,0
1143,draw,0,0
1144,draw,0,0
1145,draw,0,0
1146,draw,0,0
1147,draw,0,0
1148,Random,-1,1
1149,draw,0,0
1150,draw,0,0
1151,MinimaxQ,1,-1
1152,MinimaxQ,1,-1
1153,MinimaxQ,1,-1
1154,draw,0,0
1155,Random,-1,1
1156,MinimaxQ,1,-1
1157,MinimaxQ,1,-1
1158,draw,0,0
1159,draw,0,0
1160,draw,0,0
1161,draw,0,0
1162,draw,0,0
1163,draw,0,0
1164,Random,-1,1
1165,draw,0,0
1166,MinimaxQ,1,-1
1167,draw,0,0
1168,draw,0,0
1169,Random,-1,1
1170,draw,0,0
1171,draw,0,0
1172,Random,-1,1
1173,MinimaxQ,1,-1
1174,MinimaxQ,1,-1
1175,Random,-1,1
1176,MinimaxQ,1,-1
1177,draw,0,0
1178,draw,0,0
1179,Random,-1,1
1180,draw,0,0
1181,Random,-1,1
1182,Random,-1,1
1183,Random,-1,1
1184,draw,0,0
1185,draw,0,0
