episode,winner,NashQ,Random
953,Random,-1,1
954,Random,-1,1
955,Random,-1,1
956,Random,-1,1
957,Random,-1,1
958,Random,-1,1
959,Random,-1,1
960,Random,-1,1
961,draw,0,0
962,Random,-1,1
963,NashQ,1,-1
964,Random,-1,1
965,Random,-1,1
966,NashQ,1,-1
967,draw,0,0
968,draw,0,0
969,Random,-1,1
970,Random,-1,1
971,draw,0,0
972,draw,0,0
973,draw,0,0
974,Random,-1,1
975,Random,-1,1
976,Random,-1,1
977,Random,-1,1
978,Random,-1,1
979,draw,0,0
980,NashQ,1,-1
981,Random,-1,1
982,draw,0,0
983,Random,-1,1
984,Random,-1,1
985,Random,-1,1
986,Random,-1,1
987,Random,-1,1
988,Random,-1,1
989,Random,-1,1
990,Random,-1,1
991,draw,0,0
992,Random,-1,1
993,Random,-1,1
994,Random,-1,1
995,Random,-1,1
996,draw,0,0
997,Random,-1,1
998,draw,0,0
999,Random,-1,1
1000,Random,-1,1
1001,draw,0,0
1002,draw,0,0
1003,draw,0,0
1004,Random,-1,1
1005,Random,-1,1
1006,draw,0,0
1007,draw,0,0
1008,draw,0,0
1009,draw,0,0
1010,Random,-1,1
1011,Random,-1,1
1012,Random,-1,1
1013,draw,0,0
1014,draw,0,0
1015,draw,0,0
1016,Random,-1,1
1017,Random,-1,1
1018,Random,-1,1
1019,draw,0,0
1020,Random,-1,1
1021,Random,-1,1
1022,Random,-1,1
1023,Random,-1,1
1024,Random,-1,1
1025,draw,0,0
1026,Random,-1,1
1027,Random,-1,1
1028,draw,0,0
1029,draw,0,0
1030,Random,-1,1
1031,Random,-1,1
1032,Random,-1,1
1033,Random,-1,1
1034,Random,-1,1
1035,Random,-1,1
1036,draw,0,0
1037,Random,-1,1
1038,draw,0,0
1039,Random,-1,1
1040,draw,0,0
1041,Random,-1,1
1042,draw,0,0
1043,Random,-1,1
1044,Random,-1,1
1045,NashQ,1,-1
1046,Random,-1,1
1047,Random,-1,1
1048,draw,0,0
1049,draw,0,0
1050,Random,-1,1
1051,Random,-1,1
1052,Random,-1,1
1053,Random,-1,1
1054,draw,0,0
1055,Random,-1,1
1056,Random,-1,1
1057,Random,-1,1
1058,Random,-1,1
1059,Random,-1,1
1060,Random,-1,1
1061,Random,-1,1
1062,Random,-1,1
1063,Random,-1,1
1064,draw,0,0
1065,Random,-1,1
1066,Random,-1,1
1067,draw,0,0
1068,Random,-1,1
1069,Random,-1,1
1070,Random,-1,1
1071,Random,-1,1
1072,Random,-1,1
1073,Random,-1,1
1074,Random,-1,1
1075,draw,0,0
1076,Random,-1,1
1077,draw,0,0
1078,Random,-1,1
1079,Random,-1,1
1080,Random,-1,1
1081,Random,-1,1
1082,NashQ,1,-1
1083,Random,-1,1
1084,draw,0,0
1085,NashQ,1,-1
1086,Random,-1,1
1087,NashQ,1,-1
1088,draw,0,0
1089,Random,-1,1
1090,NashQ,1,-1
1091,Random,-1,1
1092,Random,-1,1
1093,draw,0,0
1094,Random,-1,1
1095,Random,-1,1
1096,Random,-1,1
1097,Random,-1,1
1098,Random,-1,1
1099,Random,-1,1
1100,Random,-1,1
1101,Random,-1,1
1102,Random,-1,1
1103,Random,-1,1
1104,Random,-1,1
1105,draw,0,0
1106,Random,-1,1
1107,draw,0,0
1108,draw,0,0
1109,Random,-1,1
1110,draw,0,0
1111,Random,-1,1
1112,Random,-1,1
1113,Random,-1,1
1114,Random,-1,1
1115,Random,-1,1
1116,Random,-1,1
1117,Random,-1,1
1118,Random,-1,1
1119,Random,-1,1
1120,draw,0,0
1121,draw,0,0
1122,draw,0,0
1123,Random,-1,1
1124,Random,-1,1
1125,Random,-1,1
1126,NashQ,1,-1
1127,Random,-1,1
1128,Random,-1,1
1129,Random,-1,1
1130,Random,-1,1
1131,draw,0,0
1132,NashQ,1,-1
1133,draw,0,0
1134,draw,0,0
1135,draw,0,0
1136,Random,-1,1
1137,Random,-1,1
1138,Random,-1,1
1139,Random,-1,1
1140,draw,0,0
1141,Random,-1,1
1142,Random,-1,1
1143,draw,0,0
1144,Random,-1,1
1145,draw,0,0
1146,Random,-1,1
1147,Random,-1,1
1148,Random,-1,1
1149,Random,-1,1
1150,Random,-1,1
1151,Random,-1,1
1152,draw,0,0
1153,Random,-1,1
1154,draw,0,0
1155,Random,-1,1
1156,Random,-1,1
1157,Random,-1,1
1158,draw,0,0
1159,Random,-1,1
1160,draw,0,0
1161,Random,-1,1
1162,draw,0,0
1163,Random,-1,1
1164,NashQ,1,-1
1165,Random,-1,1
1166,draw,0,0
1167,draw,0,0
1168,draw,0,0
1169,Random,-1,1
1170,draw,0,0
1171,Random,-1,1
1172,Random,-1,1
1173,Random,-1,1
1174,draw,0,0
1175,draw,0,0
1176,Random,-1,1
1177,Random,-1,1
1178,Random,-1,1
1179,Random,-1,1
1180,Random,-1,1
1181,Random,-1,1
1182,Random,-1,1
1183,NashQ,1,-1
1184,Random,-1,1
1185,draw,0,0
1186,Random,-1,1
1187,Random,-1,1
1188,Random,-1,1
1189,draw,0,0
1190,draw,0,0
1191,Random,-1,1
1192,draw,0,0
1193,draw,0,0
1194,Random,-1,1
1195,draw,0,0
1196,Random,-1,1
1197,draw,0,0
1198,Random,-1,1
1199,draw,0,0
1200,Random,-1,1
1201,draw,0,0
1202,Random,-1,1
1203,Random,-1,1
1204,Random,-1,1
1205,Random,-1,1
1206,Random,-1,1
1207,draw,0,0
1208,Random,-1,1
1209,Random,-1,1
1210,Random,-1,1
1211,Random,-1,1
1212,Random,-1,1
1213,Random,-1,1
1214,Random,-1,1
1215,Random,-1,1
1216,Random,-1,1
1217,Random,-1,1
1218,draw,0,0
1219,Random,-1,1
1220,draw,0,0
1221,Random,-1,1
1222,Random,-1,1
1223,Random,-1,1
1224,draw,0,0
1225,Random,-1,1
1226,Random,-1,1
1227,Random,-1,1
1228,Random,-1,1
1229,Random,-1,1
1230,Random,-1,1
1231,draw,0,0
1232,draw,0,0
1233,Random,-1,1
1234,draw,0,0
1235,Random,-1,1
1236,Random,-1,1
1237,draw,0,0
1238,Random,-1,1
1239,Random,-1,1
1240,Random,-1,1
1241,Random,-1,1
1242,Random,-1,1
1243,Random,-1,1
1244,Random,-1,1
1245,Random,-1,1
1246,Random,-1,1
1247,Random,-1,1
1248,Random,-1,1
1249,Random,-1,1
1250,Random,-1,1
1251,draw,0,0
1252,Random,-1,1
1253,Random,-1,1
1254,Random,-1,1
1255,Random,-1,1
1256,Random,-1,1
1257,draw,0,0
1258,Random,-1,1
1259,draw,0,0
1260,draw,0,0
1261,draw,0,0
1262,draw,0,0
1263,draw,0,0
1264,Random,-1,1
1265,Random,-1,1
1266,Random,-1,1
1267,Random,-1,1
1268,draw,0,0
1269,draw,0,0
1270,Random,-1,1
1271,Random,-1,1
1272,Random,-1,1
1273,Random,-1,1
1274,Random,-1,1
1275,Random,-1,1
1276,draw,0,0
1277,draw,0,0
1278,Random,-1,1
1279,draw,0,0
1280,Random,-1,1
1281,Random,-1,1
1282,draw,0,0
1283,Random,-1,1
1284,Random,-1,1
1285,Random,-1,1
1286,Random,-1,1
1287,draw,0,0
1288,draw,0,0
1289,Random,-1,1
1290,Random,-1,1
1291,draw,0,0
1292,draw,0,0
1293,Random,-1,1
1294,draw,0,0
1295,draw,0,0
1296,Random,-1,1
1297,Random,-1,1
1298,Random,-1,1
1299,Random,-1,1
1300,draw,0,0
1301,Random,-1,1
1302,Random,-1,1
1303,Random,-1,1
1304,Random,-1,1
1305,draw,0,0
1306,draw,0,0
1307,Random,-1,1
1308,Random,-1,1
1309,Random,-1,1
1310,Random,-1,1
1311,draw,0,0
1312,Random,-1,1
1313,Random,-1,1
1314,Random,-1,1
1315,draw,0,0
1316,Random,-1,1
1317,Random,-1,1
1318,Random,-1,1
1319,draw,0,0
1320,draw,0,0
1321,draw,0,0
1322,Random,-1,1
1323,Random,-1,1
1324,Random,-1,1
1325,draw,0,0
1326,Random,-1,1
1327,Random,-1,1
1328,Random,-1,1
1329,Random,-1,1
1330,draw,0,0
1331,draw,0,0
1332,Random,-1,1
1333,Random,-1,1
1334,Random,-1,1
1335,draw,0,0
1336,Random,-1,1
1337,draw,0,0
1338,Random,-1,1
1339,draw,0,0
1340,Random,-1,1
1341,Random,-1,1
1342,Random,-1,1
1343,draw,0,0
1344,Random,-1,1
1345,draw,0,0
1346,Random,-1,1
1347,draw,0,0
1348,draw,0,0
1349,draw,0,0
1350,draw,0,0
1351,Random,-1,1
1352,Random,-1,1
1353,draw,0,0
1354,draw,0,0
1355,Random,-1,1
1356,NashQ,1,-1
1357,Random,-1,1
1358,draw,0,0
1359,draw,0,0
