episode,winner,MinimaxQ,MinimaxQ_2
834,draw,0,0
835,MinimaxQ,1,-1
836,MinimaxQ_2,-1,1
837,MinimaxQ,1,-1
838,draw,0,0
839,draw,0,0
840,MinimaxQ_2,-1,1
841,draw,0,0
842,draw,0,0
843,MinimaxQ,1,-1
844,draw,0,0
845,draw,0,0
846,draw,0,0
847,draw,0,0
848,draw,0,0
849,draw,0,0
850,draw,0,0
851,draw,0,0
852,draw,0,0
853,draw,0,0
854,MinimaxQ_2,-1,1
855,draw,0,0
856,draw,0,0
857,draw,0,0
858,draw,0,0
859,draw,0,0
860,draw,0,0
861,draw,0,0
862,draw,0,0
863,draw,0,0
864,draw,0,0
865,draw,0,0
866,draw,0,0
867,draw,0,0
868,draw,0,0
869,draw,0,0
870,draw,0,0
871,draw,0,0
872,draw,0,0
873,draw,0,0
874,draw,0,0
875,draw,0,0
876,draw,0,0
877,draw,0,0
878,draw,0,0
879,draw,0,0
880,draw,0,0
881,draw,0,0
882,draw,0,0
883,draw,0,0
884,draw,0,0
885,MinimaxQ_2,-1,1
886,draw,0,0
887,draw,0,0
888,draw,0,0
889,draw,0,0
890,MinimaxQ_2,-1,1
891,draw,0,0
892,draw,0,0
893,draw,0,0
894,draw,0,0
895,draw,0,0
896,MinimaxQ,1,-1
897,MinimaxQ,1,-1
898,draw,0,0
899,MinimaxQ,1,-1
900,draw,0,0
901,draw,0,0
902,draw,0,0
903,draw,0,0
904,draw,0,0
905,draw,0,0
906,draw,0,0
907,MinimaxQ,1,-1
908,MinimaxQ,1,-1
909,draw,0,0
910,draw,0,0
911,draw,0,0
912,draw,0,0
913,MinimaxQ,1,-1
914,draw,0,0
915,draw,0,0
916,draw,0,0
917,MinimaxQ_2,-1,1
918,draw,0,0
919,MinimaxQ_2,-1,1
920,draw,0,0
921,draw,0,0
922,draw,0,0
923,draw,0,0
924,draw,0,0
925,draw,0,0
926,MinimaxQ_2,-1,1
927,draw,0,0
928,draw,0,0
929,draw,0,0
930,draw,0,0
931,draw,0,0
932,draw,0,0
933,MinimaxQ_2,-1,1
934,draw,0,0
935,draw,0,0
936,draw,0,0
937,MinimaxQ,1,-1
938,draw,0,0
939,MinimaxQ_2,-1,1
940,draw,0,0
941,draw,0,0
942,draw,0,0
943,draw,0,0
944,draw,0,0
945,draw,0,0
946,draw,0,0
947,draw,0,0
948,draw,0,0
949,draw,0,0
950,draw,0,0
951,draw,0,0
952,draw,0,0
953,draw,0,0
954,draw,0,0
955,draw,0,0
956,draw,0,0
957,MinimaxQ,1,-1
958,draw,0,0
959,draw,0,0
960,draw,0,0
961,draw,0,0
962,draw,0,0
963,draw,0,0
964,draw,0,0
965,draw,0,0
966,draw,0,0
967,draw,0,0
968,draw,0,0
969,MinimaxQ_2,-1,1
970,draw,0,0
971,draw,0,0
972,MinimaxQ,1,-1
973,draw,0,0
974,draw,0,0
975,draw,0,0
976,draw,0,0
977,draw,0,0
978,draw,0,0
979,draw,0,0
980,draw,0,0
981,draw,0,0
982,draw,0,0
983,draw,0,0
984,MinimaxQ_2,-1,1
985,draw,0,0
986,MinimaxQ,1,-1
987,MinimaxQ_2,-1,1
988,draw,0,0
989,MinimaxQ,1,-1
990,draw,0,0
991,draw,0,0
992,draw,0,0
993,draw,0,0
994,draw,0,0
995,draw,0,0
996,draw,0,0
997,draw,0,0
998,draw,0,0
999,draw,0,0
1000,draw,0,0
1001,MinimaxQ_2,-1,1
1002,draw,0,0
1003,draw,0,0
1004,draw,0,0
1005,draw,0,0
1006,draw,0,0
1007,draw,0,0
1008,draw,0,0
1009,draw,0,0
1010,draw,0,0
1011,MinimaxQ,1,-1
1012,draw,0,0
1013,draw,0,0
1014,draw,0,0
1015,draw,0,0
1016,MinimaxQ,1,-1
1017,draw,0,0
1018,MinimaxQ_2,-1,1
1019,draw,0,0
1020,draw,0,0
1021,MinimaxQ,1,-1
1022,draw,0,0
1023,draw,0,0
1024,draw,0,0
1025,draw,0,0
1026,draw,0,0
1027,draw,0,0
1028,draw,0,0
1029,MinimaxQ_2,-1,1
1030,draw,0,0
1031,draw,0,0
1032,draw,0,0
1033,draw,0,0
1034,MinimaxQ,1,-1
1035,draw,0,0
1036,MinimaxQ_2,-1,1
1037,draw,0,0
1038,draw,0,0
1039,draw,0,0
1040,draw,0,0
1041,MinimaxQ,1,-1
1042,draw,0,0
1043,draw,0,0
1044,MinimaxQ,1,-1
1045,draw,0,0
1046,draw,0,0
1047,draw,0,0
1048,draw,0,0
1049,draw,0,0
1050,draw,0,0
1051,draw,0,0
1052,draw,0,0
1053,MinimaxQ_2,-1,1
1054,draw,0,0
1055,draw,0,0
1056,draw,0,0
1057,draw,0,0
1058,draw,0,0
1059,draw,0,0
1060,draw,0,0
1061,draw,0,0
1062,MinimaxQ,1,-1
1063,draw,0,0
1064,draw,0,0
1065,draw,0,0
1066,draw,0,0
1067,draw,0,0
1068,MinimaxQ_2,-1,1
1069,draw,0,0
1070,MinimaxQ,1,-1
1071,draw,0,0
1072,MinimaxQ,1,-1
1073,draw,0,0
1074,draw,0,0
1075,draw,0,0
1076,draw,0,0
1077,draw,0,0
1078,draw,0,0
1079,draw,0,0
1080,draw,0,0
1081,draw,0,0
1082,draw,0,0
1083,draw,0,0
1084,draw,0,0
1085,MinimaxQ_2,-1,1
1086,MinimaxQ,1,-1
1087,draw,0,0
1088,draw,0,0
1089,draw,0,0
1090,draw,0,0
1091,draw,0,0
1092,draw,0,0
1093,MinimaxQ,1,-1
1094,draw,0,0
1095,draw,0,0
1096,MinimaxQ,1,-1
1097,draw,0,0
1098,draw,0,0
1099,draw,0,0
1100,draw,0,0
1101,draw,0,0
1102,MinimaxQ,1,-1
1103,draw,0,0
1104,draw,0,0
1105,draw,0,0
1106,draw,0,0
1107,draw,0,0
1108,draw,0,0
1109,MinimaxQ_2,-1,1
1110,draw,0,0
1111,draw,0,0
1112,MinimaxQ_2,-1,1
1113,draw,0,0
1114,MinimaxQ,1,-1
1115,draw,0,0
1116,draw,0,0
1117,MinimaxQ_2,-1,1
1118,draw,0,0
1119,draw,0,0
1120,draw,0,0
1121,draw,0,0
1122,MinimaxQ_2,-1,1
1123,draw,0,0
1124,draw,0,0
1125,draw,0,0
1126,draw,0,0
1127,draw,0,0
1128,draw,0,0
1129,draw,0,0
1130,draw,0,0
1131,draw,0,0
1132,draw,0,0
1133,MinimaxQ_2,-1,1
1134,draw,0,0
1135,draw,0,0
1136,draw,0,0
1137,draw,0,0
1138,draw,0,0
1139,draw,0,0
1140,draw,0,0
1141,draw,0,0
1142,draw,0,0
1143,draw,0,0
1144,draw,0,0
1145,draw,0,0
1146,draw,0,0
1147,draw,0,0
1148,MinimaxQ,1,-1
1149,draw,0,0
1150,draw,0,0
1151,draw,0,0
1152,draw,0,0
1153,draw,0,0
1154,MinimaxQ_2,-1,1
1155,draw,0,0
1156,draw,0,0
1157,draw,0,0
1158,draw,0,0
1159,draw,0,0
1160,draw,0,0
1161,draw,0,0
1162,draw,0,0
1163,draw,0,0
1164,draw,0,0
1165,draw,0,0
1166,draw,0,0
1167,draw,0,0
1168,draw,0,0
1169,draw,0,0
1170,draw,0,0
1171,draw,0,0
1172,MinimaxQ_2,-1,1
1173,draw,0,0
1174,draw,0,0
1175,MinimaxQ,1,-1
1176,draw,0,0
1177,draw,0,0
1178,draw,0,0
1179,draw,0,0
1180,draw,0,0
1181,draw,0,0
1182,MinimaxQ_2,-1,1
1183,draw,0,0
1184,draw,0,0
1185,MinimaxQ,1,-1
1186,draw,0,0
1187,draw,0,0
1188,draw,0,0
1189,draw,0,0
1190,draw,0,0
1191,draw,0,0
1192,MinimaxQ,1,-1
1193,draw,0,0
1194,draw,0,0
1195,draw,0,0
1196,draw,0,0
1197,draw,0,0
1198,draw,0,0
1199,draw,0,0
1200,draw,0,0
1201,draw,0,0
1202,MinimaxQ_2,-1,1
1203,MinimaxQ,1,-1
1204,draw,0,0
1205,draw,0,0
1206,draw,0,0
1207,draw,0,0
1208,draw,0,0
1209,draw,0,0
1210,draw,0,0
1211,draw,0,0
1212,draw,0,0
1213,draw,0,0
1214,draw,0,0
1215,draw,0,0
1216,MinimaxQ,1,-1
1217,draw,0,0
1218,draw,0,0
1219,draw,0,0
1220,draw,0,0
1221,draw,0,0
1222,draw,0,0
1223,draw,0,0
1224,draw,0,0
1225,draw,0,0
1226,MinimaxQ,1,-1
1227,draw,0,0
1228,draw,0,0
1229,draw,0,0
1230,draw,0,0
1231,draw,0,0
1232,draw,0,0
1233,draw,0,0
1234,draw,0,0
1235,draw,0,0
1236,draw,0,0
1237,draw,0,0
1238,MinimaxQ,1,-1
1239,draw,0,0
1240,draw,0,0
1241,draw,0,0
1242,draw,0,0
1243,draw,0,0
1244,draw,0,0
1245,MinimaxQ,1,-1
1246,draw,0,0
1247,draw,0,0
1248,draw,0,0
1249,draw,0,0
1250,draw,0,0
1251,draw,0,0
1252,draw,0,0
1253,draw,0,0
1254,draw,0,0
1255,draw,0,0
1256,draw,0,0
1257,MinimaxQ_2,-1,1
1258,MinimaxQ_2,-1,1
1259,draw,0,0
1260,draw,0,0
1261,draw,0,0
1262,draw,0,0
1263,draw,0,0
1264,draw,0,0
1265,draw,0,0
1266,draw,0,0
1267,draw,0,0
1268,draw,0,0
1269,draw,0,0
1270,draw,0,0
1271,MinimaxQ_2,-1,1
1272,draw,0,0
1273,draw,0,0
1274,draw,0,0
1275,draw,0,0
1276,draw,0,0
1277,draw,0,0
1278,MinimaxQ,1,-1
1279,draw,0,0
1280,draw,0,0
1281,draw,0,0
1282,draw,0,0
1283,draw,0,0
1284,draw,0,0
1285,MinimaxQ,1,-1
1286,MinimaxQ,1,-1
1287,draw,0,0
1288,draw,0,0
1289,draw,0,0
1290,draw,0,0
1291,draw,0,0
1292,draw,0,0
1293,draw,0,0
1294,draw,0,0
1295,draw,0,0
1296,draw,0,0
1297,draw,0,0
1298,draw,0,0
1299,draw,0,0
1300,draw,0,0
1301,draw,0,0
1302,MinimaxQ,1,-1
1303,draw,0,0
1304,draw,0,0
1305,draw,0,0
1306,draw,0,0
1307,MinimaxQ,1,-1
1308,MinimaxQ,1,-1
1309,draw,0,0
1310,draw,0,0
1311,draw,0,0
1312,draw,0,0
1313,draw,0,0
1314,draw,0,0
1315,draw,0,0
1316,draw,0,0
1317,MinimaxQ,1,-1
1318,draw,0,0
