episode,winner,PHC,Random
1290,PHC,1,-1
1291,Random,-1,1
1292,Random,-1,1
1293,PHC,1,-1
1294,Random,-1,1
1295,PHC,1,-1
1296,PHC,1,-1
1297,PHC,1,-1
1298,PHC,1,-1
1299,Random,-1,1
1300,PHC,1,-1
1301,Random,-1,1
1302,Random,-1,1
1303,PHC,1,-1
1304,PHC,1,-1
1305,Random,-1,1
1306,PHC,1,-1
1307,PHC,1,-1
1308,PHC,1,-1
1309,PHC,1,-1
1310,PHC,1,-1
1311,PHC,1,-1
1312,Random,-1,1
1313,PHC,1,-1
1314,PHC,1,-1
1315,PHC,1,-1
1316,PHC,1,-1
1317,PHC,1,-1
1318,PHC,1,-1
1319,PHC,1,-1
1320,PHC,1,-1
1321,Random,-1,1
1322,Random,-1,1
1323,PHC,1,-1
1324,PHC,1,-1
1325,PHC,1,-1
1326,PHC,1,-1
1327,Random,-1,1
1328,Random,-1,1
1329,Random,-1,1
1330,PHC,1,-1
1331,PHC,1,-1
1332,Random,-1,1
1333,PHC,1,-1
1334,Random,-1,1
1335,PHC,1,-1
1336,PHC,1,-1
1337,PHC,1,-1
1338,Random,-1,1
1339,PHC,1,-1
1340,Random,-1,1
1341,PHC,1,-1
1342,Random,-1,1
1343,PHC,1,-1
1344,PHC,1,-1
1345,PHC,1,-1
1346,PHC,1,-1
1347,Random,-1,1
1348,PHC,1,-1
1349,PHC,1,-1
1350,Random,-1,1
1351,Random,-1,1
1352,PHC,1,-1
1353,PHC,1,-1
1354,Random,-1,1
1355,Random,-1,1
1356,PHC,1,-1
1357,PHC,1,-1
1358,PHC,1,-1
1359,PHC,1,-1
1360,Random,-1,1
1361,Random,-1,1
1362,Random,-1,1
1363,PHC,1,-1
1364,PHC,1,-1
1365,PHC,1,-1
1366,PHC,1,-1
1367,Random,-1,1
1368,Random,-1,1
1369,PHC,1,-1
1370,PHC,1,-1
1371,PHC,1,-1
1372,PHC,1,-1
1373,PHC,1,-1
1374,PHC,1,-1
1375,PHC,1,-1
1376,PHC,1,-1
1377,PHC,1,-1
1378,Random,-1,1
1379,PHC,1,-1
1380,PHC,1,-1
1381,Random,-1,1
1382,PHC,1,-1
1383,PHC,1,-1
1384,Random,-1,1
1385,PHC,1,-1
1386,PHC,1,-1
1387,PHC,1,-1
1388,Random,-1,1
1389,PHC,1,-1
1390,PHC,1,-1
1391,PHC,1,-1
1392,Random,-1,1
1393,PHC,1,-1
1394,PHC,1,-1
1395,PHC,1,-1
1396,PHC,1,-1
1397,PHC,1,-1
1398,PHC,1,-1
1399,Random,-1,1
1400,PHC,1,-1
1401,PHC,1,-1
1402,Random,-1,1
1403,PHC,1,-1
1404,PHC,1,-1
1405,PHC,1,-1
1406,PHC,1,-1
1407,PHC,1,-1
1408,PHC,1,-1
1409,PHC,1,-1
1410,PHC,1,-1
1411,Random,-1,1
1412,Random,-1,1
1413,Random,-1,1
1414,PHC,1,-1
1415,Random,-1,1
1416,PHC,1,-1
1417,Random,-1,1
1418,PHC,1,-1
1419,Random,-1,1
1420,PHC,1,-1
1421,Random,-1,1
1422,PHC,1,-1
1423,PHC,1,-1
1424,Random,-1,1
1425,PHC,1,-1
1426,PHC,1,-1
1427,PHC,1,-1
1428,PHC,1,-1
1429,PHC,1,-1
1430,PHC,1,-1
1431,PHC,1,-1
1432,PHC,1,-1
1433,PHC,1,-1
1434,PHC,1,-1
1435,PHC,1,-1
1436,Random,-1,1
1437,Random,-1,1
1438,PHC,1,-1
1439,PHC,1,-1
1440,PHC,1,-1
1441,PHC,1,-1
1442,PHC,1,-1
1443,Random,-1,1
1444,Random,-1,1
1445,Random,-1,1
1446,Random,-1,1
1447,PHC,1,-1
1448,PHC,1,-1
1449,PHC,1,-1
1450,PHC,1,-1
1451,Random,-1,1
1452,PHC,1,-1
1453,Random,-1,1
1454,PHC,1,-1
1455,PHC,1,-1
1456,Random,-1,1
1457,Random,-1,1
1458,Random,-1,1
1459,PHC,1,-1
1460,PHC,1,-1
1461,PHC,1,-1
1462,PHC,1,-1
1463,Random,-1,1
1464,PHC,1,-1
1465,Random,-1,1
1466,PHC,1,-1
1467,PHC,1,-1
1468,Random,-1,1
1469,Random,-1,1
1470,PHC,1,-1
1471,PHC,1,-1
1472,Random,-1,1
1473,PHC,1,-1
1474,PHC,1,-1
1475,PHC,1,-1
1476,PHC,1,-1
1477,PHC,1,-1
1478,PHC,1,-1
1479,PHC,1,-1
1480,PHC,1,-1
1481,PHC,1,-1
1482,PHC,1,-1
1483,PHC,1,-1
1484,PHC,1,-1
1485,PHC,1,-1
1486,PHC,1,-1
1487,Random,-1,1
1488,PHC,1,-1
1489,PHC,1,-1
1490,PHC,1,-1
1491,PHC,1,-1
1492,Random,-1,1
1493,PHC,1,-1
1494,PHC,1,-1
1495,PHC,1,-1
1496,Random,-1,1
1497,PHC,1,-1
1498,PHC,1,-1
1499,PHC,1,-1
1500,PHC,1,-1
1501,PHC,1,-1
1502,Random,-1,1
1503,PHC,1,-1
1504,PHC,1,-1
1505,PHC,1,-1
1506,Random,-1,1
1507,PHC,1,-1
1508,Random,-1,1
1509,PHC,1,-1
1510,Random,-1,1
1511,PHC,1,-1
1512,Random,-1,1
1513,PHC,1,-1
1514,PHC,1,-1
1515,PHC,1,-1
1516,draw,0,0
1517,PHC,1,-1
1518,PHC,1,-1
1519,PHC,1,-1
1520,PHC,1,-1
1521,Random,-1,1
1522,PHC,1,-1
1523,PHC,1,-1
1524,PHC,1,-1
1525,Random,-1,1
1526,PHC,1,-1
1527,PHC,1,-1
1528,PHC,1,-1
1529,PHC,1,-1
1530,PHC,1,-1
1531,PHC,1,-1
1532,PHC,1,-1
1533,PHC,1,-1
1534,PHC,1,-1
1535,Random,-1,1
1536,PHC,1,-1
1537,PHC,1,-1
1538,Random,-1,1
1539,PHC,1,-1
1540,PHC,1,-1
1541,PHC,1,-1
1542,PHC,1,-1
1543,PHC,1,-1
1544,Random,-1,1
1545,Random,-1,1
1546,PHC,1,-1
1547,PHC,1,-1
1548,PHC,1,-1
1549,Random,-1,1
1550,Random,-1,1
1551,PHC,1,-1
1552,Random,-1,1
1553,Random,-1,1
1554,PHC,1,-1
1555,PHC,1,-1
1556,Random,-1,1
1557,Random,-1,1
1558,Random,-1,1
1559,PHC,1,-1
1560,PHC,1,-1
1561,PHC,1,-1
1562,PHC,1,-1
1563,Random,-1,1
1564,PHC,1,-1
1565,PHC,1,-1
1566,PHC,1,-1
1567,PHC,1,-1
1568,PHC,1,-1
1569,Random,-1,1
1570,PHC,1,-1
1571,Random,-1,1
1572,PHC,1,-1
1573,Random,-1,1
1574,PHC,1,-1
1575,PHC,1,-1
1576,PHC,1,-1
1577,PHC,1,-1
1578,PHC,1,-1
1579,PHC,1,-1
1580,PHC,1,-1
1581,PHC,1,-1
1582,Random,-1,1
1583,Random,-1,1
1584,Random,-1,1
1585,Random,-1,1
1586,Random,-1,1
1587,PHC,1,-1
1588,PHC,1,-1
1589,Random,-1,1
1590,Random,-1,1
1591,PHC,1,-1
1592,PHC,1,-1
1593,Random,-1,1
1594,PHC,1,-1
1595,PHC,1,-1
1596,Random,-1,1
1597,PHC,1,-1
1598,PHC,1,-1
1599,PHC,1,-1
1600,PHC,1,-1
1601,Random,-1,1
1602,PHC,1,-1
1603,Random,-1,1
1604,PHC,1,-1
1605,PHC,1,-1
1606,PHC,1,-1
1607,PHC,1,-1
1608,PHC,1,-1
1609,PHC,1,-1
1610,PHC,1,-1
1611,Random,-1,1
1612,PHC,1,-1
1613,Random,-1,1
1614,PHC,1,-1
1615,PHC,1,-1
1616,PHC,1,-1
1617,PHC,1,-1
1618,PHC,1,-1
1619,Random,-1,1
1620,PHC,1,-1
1621,PHC,1,-1
1622,PHC,1,-1
1623,PHC,1,-1
1624,Random,-1,1
1625,PHC,1,-1
1626,PHC,1,-1
1627,PHC,1,-1
1628,PHC,1,-1
1629,PHC,1,-1
1630,PHC,1,-1
1631,Random,-1,1
1632,PHC,1,-1
1633,PHC,1,-1
1634,PHC,1,-1
1635,PHC,1,-1
1636,PHC,1,-1
1637,PHC,1,-1
1638,PHC,1,-1
1639,PHC,1,-1
1640,Random,-1,1
1641,PHC,1,-1
1642,PHC,1,-1
1643,PHC,1,-1
1644,PHC,1,-1
1645,PHC,1,-1
1646,Random,-1,1
1647,PHC,1,-1
1648,PHC,1,-1
1649,PHC,1,-1
1650,PHC,1,-1
1651,Random,-1,1
1652,PHC,1,-1
1653,PHC,1,-1
1654,Random,-1,1
1655,Random,-1,1
1656,Random,-1,1
1657,Random,-1,1
1658,Random,-1,1
1659,Random,-1,1
1660,PHC,1,-1
1661,PHC,1,-1
1662,PHC,1,-1
1663,PHC,1,-1
1664,PHC,1,-1
1665,PHC,1,-1
1666,PHC,1,-1
1667,PHC,1,-1
1668,Random,-1,1
1669,PHC,1,-1
1670,PHC,1,-1
1671,PHC,1,-1
1672,PHC,1,-1
1673,PHC,1,-1
1674,PHC,1,-1
1675,PHC,1,-1
1676,PHC,1,-1
1677,Random,-1,1
1678,PHC,1,-1
1679,PHC,1,-1
1680,PHC,1,-1
1681,Random,-1,1
1682,PHC,1,-1
1683,PHC,1,-1
1684,PHC,1,-1
1685,PHC,1,-1
1686,PHC,1,-1
1687,PHC,1,-1
1688,PHC,1,-1
1689,PHC,1,-1
1690,Random,-1,1
1691,PHC,1,-1
1692,PHC,1,-1
1693,PHC,1,-1
1694,PHC,1,-1
1695,PHC,1,-1
1696,PHC,1,-1
1697,Random,-1,1
1698,PHC,1,-1
1699,PHC,1,-1
1700,PHC,1,-1
1701,PHC,1,-1
1702,PHC,1,-1
1703,PHC,1,-1
1704,PHC,1,-1
1705,PHC,1,-1
1706,PHC,1,-1
1707,PHC,1,-1
1708,PHC,1,-1
1709,PHC,1,-1
1710,PHC,1,-1
1711,PHC,1,-1
1712,PHC,1,-1
1713,Random,-1,1
1714,PHC,1,-1
1715,Random,-1,1
1716,PHC,1,-1
1717,PHC,1,-1
1718,PHC,1,-1
1719,Random,-1,1
1720,PHC,1,-1
1721,Random,-1,1
1722,PHC,1,-1
1723,PHC,1,-1
1724,PHC,1,-1
1725,Random,-1,1
1726,PHC,1,-1
1727,PHC,1,-1
1728,PHC,1,-1
1729,PHC,1,-1
1730,PHC,1,-1
1731,Random,-1,1
1732,PHC,1,-1
1733,Random,-1,1
1734,Random,-1,1
1735,Random,-1,1
1736,PHC,1,-1
1737,PHC,1,-1
1738,PHC,1,-1
1739,PHC,1,-1
1740,PHC,1,-1
1741,PHC,1,-1
1742,PHC,1,-1
1743,PHC,1,-1
1744,PHC,1,-1
1745,PHC,1,-1
1746,PHC,1,-1
1747,Random,-1,1
1748,PHC,1,-1
1749,Random,-1,1
1750,Random,-1,1
1751,PHC,1,-1
1752,PHC,1,-1
1753,Random,-1,1
1754,PHC,1,-1
1755,PHC,1,-1
1756,PHC,1,-1
1757,PHC,1,-1
1758,PHC,1,-1
1759,Random,-1,1
1760,PHC,1,-1
1761,Random,-1,1
1762,Random,-1,1
1763,PHC,1,-1
1764,Random,-1,1
1765,PHC,1,-1
1766,PHC,1,-1
1767,PHC,1,-1
1768,PHC,1,-1
1769,PHC,1,-1
1770,PHC,1,-1
1771,PHC,1,-1
1772,Random,-1,1
1773,PHC,1,-1
1774,Random,-1,1
1775,PHC,1,-1
1776,Random,-1,1
1777,PHC,1,-1
1778,PHC,1,-1
1779,PHC,1,-1
1780,PHC,1,-1
1781,PHC,1,-1
1782,PHC,1,-1
1783,PHC,1,-1
1784,PHC,1,-1
1785,PHC,1,-1
1786,PHC,1,-1
1787,PHC,1,-1
1788,PHC,1,-1
1789,PHC,1,-1
1790,Random,-1,1
1791,PHC,1,-1
1792,PHC,1,-1
1793,PHC,1,-1
1794,PHC,1,-1
1795,PHC,1,-1
1796,PHC,1,-1
1797,PHC,1,-1
1798,PHC,1,-1
1799,PHC,1,-1
1800,Random,-1,1
1801,PHC,1,-1
1802,Random,-1,1
1803,Random,-1,1
1804,PHC,1,-1
1805,PHC,1,-1
1806,PHC,1,-1
1807,PHC,1,-1
1808,Random,-1,1
1809,PHC,1,-1
1810,PHC,1,-1
1811,Random,-1,1
1812,PHC,1,-1
1813,PHC,1,-1
1814,PHC,1,-1
1815,Random,-1,1
1816,PHC,1,-1
1817,PHC,1,-1
1818,Random,-1,1
1819,PHC,1,-1
1820,Random,-1,1
1821,PHC,1,-1
1822,Random,-1,1
1823,PHC,1,-1
1824,PHC,1,-1
1825,PHC,1,-1
1826,PHC,1,-1
1827,PHC,1,-1
1828,PHC,1,-1
1829,PHC,1,-1
1830,Random,-1,1
1831,Random,-1,1
1832,PHC,1,-1
1833,PHC,1,-1
1834,PHC,1,-1
1835,PHC,1,-1
1836,PHC,1,-1
1837,PHC,1,-1
1838,PHC,1,-1
1839,PHC,1,-1
1840,Random,-1,1
1841,PHC,1,-1
1842,PHC,1,-1
1843,PHC,1,-1
1844,PHC,1,-1
1845,PHC,1,-1
1846,PHC,1,-1
1847,Random,-1,1
1848,PHC,1,-1
1849,PHC,1,-1
1850,PHC,1,-1
1851,PHC,1,-1
1852,PHC,1,-1
1853,PHC,1,-1
1854,PHC,1,-1
1855,PHC,1,-1
1856,PHC,1,-1
1857,PHC,1,-1
1858,Random,-1,1
1859,PHC,1,-1
1860,PHC,1,-1
1861,Random,-1,1
1862,PHC,1,-1
1863,PHC,1,-1
1864,PHC,1,-1
1865,PHC,1,-1
1866,PHC,1,-1
1867,PHC,1,-1
1868,PHC,1,-1
1869,PHC,1,-1
1870,PHC,1,-1
1871,PHC,1,-1
1872,PHC,1,-1
1873,PHC,1,-1
1874,PHC,1,-1
1875,PHC,1,-1
1876,PHC,1,-1
1877,Random,-1,1
1878,PHC,1,-1
1879,PHC,1,-1
1880,PHC,1,-1
1881,PHC,1,-1
1882,PHC,1,-1
1883,PHC,1,-1
1884,PHC,1,-1
1885,PHC,1,-1
1886,PHC,1,-1
1887,PHC,1,-1
1888,PHC,1,-1
1889,Random,-1,1
1890,PHC,1,-1
1891,PHC,1,-1
1892,PHC,1,-1
1893,PHC,1,-1
1894,PHC,1,-1
1895,PHC,1,-1
1896,PHC,1,-1
1897,PHC,1,-1
1898,PHC,1,-1
1899,PHC,1,-1
1900,Random,-1,1
1901,PHC,1,-1
1902,PHC,1,-1
1903,PHC,1,-1
1904,PHC,1,-1
1905,PHC,1,-1
1906,PHC,1,-1
1907,Random,-1,1
1908,PHC,1,-1
1909,PHC,1,-1
1910,PHC,1,-1
1911,PHC,1,-1
1912,PHC,1,-1
1913,PHC,1,-1
1914,PHC,1,-1
1915,PHC,1,-1
1916,PHC,1,-1
1917,PHC,1,-1
1918,PHC,1,-1
1919,PHC,1,-1
1920,PHC,1,-1
1921,Random,-1,1
1922,PHC,1,-1
1923,PHC,1,-1
1924,PHC,1,-1
1925,PHC,1,-1
1926,PHC,1,-1
1927,PHC,1,-1
1928,PHC,1,-1
1929,PHC,1,-1
1930,PHC,1,-1
1931,Random,-1,1
1932,PHC,1,-1
1933,PHC,1,-1
1934,Random,-1,1
1935,PHC,1,-1
1936,PHC,1,-1
1937,PHC,1,-1
1938,Random,-1,1
1939,PHC,1,-1
1940,PHC,1,-1
1941,PHC,1,-1
1942,PHC,1,-1
1943,Random,-1,1
1944,PHC,1,-1
1945,PHC,1,-1
1946,Random,-1,1
1947,PHC,1,-1
1948,PHC,1,-1
1949,PHC,1,-1
1950,Random,-1,1
1951,PHC,1,-1
1952,PHC,1,-1
1953,PHC,1,-1
1954,Random,-1,1
1955,Random,-1,1
1956,PHC,1,-1
1957,PHC,1,-1
1958,Random,-1,1
1959,Random,-1,1
1960,PHC,1,-1
1961,PHC,1,-1
1962,PHC,1,-1
1963,PHC,1,-1
1964,PHC,1,-1
1965,PHC,1,-1
1966,PHC,1,-1
1967,Random,-1,1
1968,PHC,1,-1
1969,PHC,1,-1
1970,PHC,1,-1
1971,PHC,1,-1
1972,PHC,1,-1
1973,PHC,1,-1
1974,PHC,1,-1
1975,PHC,1,-1
1976,PHC,1,-1
1977,Random,-1,1
1978,PHC,1,-1
1979,PHC,1,-1
1980,PHC,1,-1
1981,PHC,1,-1
1982,PHC,1,-1
1983,Random,-1,1
1984,PHC,1,-1
1985,PHC,1,-1
1986,PHC,1,-1
1987,PHC,1,-1
1988,PHC,1,-1
1989,PHC,1,-1
1990,PHC,1,-1
1991,PHC,1,-1
1992,PHC,1,-1
1993,PHC,1,-1
1994,PHC,1,-1
1995,PHC,1,-1
1996,PHC,1,-1
1997,PHC,1,-1
1998,PHC,1,-1
1999,PHC,1,-1
2000,PHC,1,-1
2001,PHC,1,-1
2002,PHC,1,-1
2003,PHC,1,-1
2004,PHC,1,-1
2005,PHC,1,-1
2006,PHC,1,-1
2007,PHC,1,-1
2008,PHC,1,-1
2009,PHC,1,-1
2010,PHC,1,-1
2011,PHC,1,-1
2012,Random,-1,1
2013,PHC,1,-1
2014,PHC,1,-1
2015,PHC,1,-1
2016,Random,-1,1
2017,PHC,1,-1
2018,PHC,1,-1
2019,PHC,1,-1
2020,PHC,1,-1
2021,PHC,1,-1
2022,PHC,1,-1
2023,PHC,1,-1
2024,PHC,1,-1
2025,Random,-1,1
2026,PHC,1,-1
2027,Random,-1,1
2028,PHC,1,-1
2029,PHC,1,-1
2030,PHC,1,-1
2031,PHC,1,-1
2032,PHC,1,-1
2033,PHC,1,-1
2034,PHC,1,-1
2035,PHC,1,-1
2036,PHC,1,-1
2037,Random,-1,1
2038,PHC,1,-1
2039,PHC,1,-1
2040,PHC,1,-1
2041,PHC,1,-1
2042,Random,-1,1
2043,PHC,1,-1
2044,Random,-1,1
2045,PHC,1,-1
2046,PHC,1,-1
2047,Random,-1,1
2048,PHC,1,-1
2049,PHC,1,-1
2050,PHC,1,-1
2051,PHC,1,-1
2052,PHC,1,-1
2053,PHC,1,-1
2054,PHC,1,-1
2055,PHC,1,-1
2056,PHC,1,-1
2057,PHC,1,-1
2058,PHC,1,-1
2059,PHC,1,-1
2060,PHC,1,-1
2061,Random,-1,1
2062,Random,-1,1
2063,Random,-1,1
2064,PHC,1,-1
2065,PHC,1,-1
2066,PHC,1,-1
2067,Random,-1,1
2068,PHC,1,-1
2069,Random,-1,1
2070,PHC,1,-1
2071,Random,-1,1
2072,PHC,1,-1
2073,Random,-1,1
2074,PHC,1,-1
2075,PHC,1,-1
2076,PHC,1,-1
2077,PHC,1,-1
2078,PHC,1,-1
2079,PHC,1,-1
2080,Random,-1,1
2081,PHC,1,-1
2082,PHC,1,-1
2083,PHC,1,-1
2084,PHC,1,-1
2085,PHC,1,-1
2086,PHC,1,-1
2087,PHC,1,-1
2088,Random,-1,1
2089,PHC,1,-1
2090,PHC,1,-1
2091,PHC,1,-1
2092,PHC,1,-1
2093,PHC,1,-1
2094,PHC,1,-1
2095,PHC,1,-1
2096,PHC,1,-1
2097,PHC,1,-1
2098,PHC,1,-1
2099,PHC,1,-1
2100,PHC,1,-1
2101,PHC,1,-1
2102,PHC,1,-1
2103,PHC,1,-1
2104,PHC,1,-1
2105,Random,-1,1
2106,Random,-1,1
2107,PHC,1,-1
2108,PHC,1,-1
2109,PHC,1,-1
2110,PHC,1,-1
2111,PHC,1,-1
2112,PHC,1,-1
2113,PHC,1,-1
2114,Random,-1,1
2115,PHC,1,-1
2116,PHC,1,-1
2117,PHC,1,-1
2118,PHC,1,-1
2119,PHC,1,-1
2120,PHC,1,-1
2121,PHC,1,-1
2122,PHC,1,-1
2123,PHC,1,-1
2124,PHC,1,-1
2125,Random,-1,1
2126,PHC,1,-1
2127,PHC,1,-1
2128,PHC,1,-1
2129,Random,-1,1
2130,PHC,1,-1
2131,Random,-1,1
2132,PHC,1,-1
2133,Random,-1,1
2134,PHC,1,-1
2135,PHC,1,-1
2136,Random,-1,1
2137,PHC,1,-1
2138,PHC,1,-1
2139,Random,-1,1
2140,PHC,1,-1
2141,PHC,1,-1
2142,PHC,1,-1
2143,Random,-1,1
2144,Random,-1,1
2145,PHC,1,-1
2146,PHC,1,-1
2147,PHC,1,-1
2148,PHC,1,-1
2149,PHC,1,-1
2150,PHC,1,-1
2151,PHC,1,-1
2152,PHC,1,-1
2153,Random,-1,1
2154,PHC,1,-1
2155,PHC,1,-1
2156,Random,-1,1
2157,PHC,1,-1
2158,PHC,1,-1
2159,PHC,1,-1
2160,PHC,1,-1
2161,PHC,1,-1
2162,Random,-1,1
2163,Random,-1,1
2164,PHC,1,-1
2165,PHC,1,-1
2166,Random,-1,1
2167,PHC,1,-1
2168,Random,-1,1
2169,PHC,1,-1
2170,PHC,1,-1
2171,PHC,1,-1
2172,PHC,1,-1
2173,PHC,1,-1
2174,PHC,1,-1
2175,PHC,1,-1
2176,PHC,1,-1
2177,PHC,1,-1
2178,Random,-1,1
2179,PHC,1,-1
2180,Random,-1,1
2181,PHC,1,-1
2182,PHC,1,-1
2183,PHC,1,-1
2184,PHC,1,-1
2185,PHC,1,-1
2186,PHC,1,-1
2187,Random,-1,1
2188,PHC,1,-1
2189,PHC,1,-1
2190,PHC,1,-1
2191,Random,-1,1
2192,PHC,1,-1
2193,PHC,1,-1
2194,PHC,1,-1
2195,PHC,1,-1
2196,PHC,1,-1
2197,Random,-1,1
2198,Random,-1,1
2199,PHC,1,-1
2200,PHC,1,-1
2201,PHC,1,-1
2202,PHC,1,-1
2203,PHC,1,-1
2204,Random,-1,1
2205,PHC,1,-1
2206,PHC,1,-1
2207,PHC,1,-1
2208,PHC,1,-1
2209,PHC,1,-1
2210,PHC,1,-1
2211,PHC,1,-1
2212,PHC,1,-1
2213,PHC,1,-1
2214,PHC,1,-1
2215,PHC,1,-1
2216,PHC,1,-1
2217,PHC,1,-1
2218,PHC,1,-1
2219,PHC,1,-1
2220,Random,-1,1
2221,PHC,1,-1
2222,PHC,1,-1
2223,PHC,1,-1
2224,PHC,1,-1
2225,PHC,1,-1
2226,PHC,1,-1
2227,PHC,1,-1
2228,Random,-1,1
2229,PHC,1,-1
2230,PHC,1,-1
2231,PHC,1,-1
2232,PHC,1,-1
2233,PHC,1,-1
2234,PHC,1,-1
2235,PHC,1,-1
2236,Random,-1,1
2237,PHC,1,-1
2238,Random,-1,1
2239,PHC,1,-1
2240,PHC,1,-1
2241,PHC,1,-1
2242,PHC,1,-1
2243,Random,-1,1
2244,Random,-1,1
2245,PHC,1,-1
2246,Random,-1,1
2247,Random,-1,1
2248,Random,-1,1
2249,PHC,1,-1
2250,PHC,1,-1
2251,Random,-1,1
2252,PHC,1,-1
2253,Random,-1,1
2254,PHC,1,-1
2255,PHC,1,-1
2256,PHC,1,-1
2257,PHC,1,-1
2258,PHC,1,-1
2259,PHC,1,-1
2260,PHC,1,-1
2261,PHC,1,-1
2262,PHC,1,-1
2263,Random,-1,1
2264,PHC,1,-1
2265,PHC,1,-1
2266,PHC,1,-1
2267,PHC,1,-1
2268,Random,-1,1
2269,PHC,1,-1
2270,PHC,1,-1
2271,PHC,1,-1
2272,PHC,1,-1
2273,Random,-1,1
2274,PHC,1,-1
2275,PHC,1,-1
2276,PHC,1,-1
2277,Random,-1,1
2278,PHC,1,-1
2279,PHC,1,-1
2280,PHC,1,-1
2281,PHC,1,-1
2282,PHC,1,-1
2283,PHC,1,-1
2284,PHC,1,-1
2285,PHC,1,-1
2286,PHC,1,-1
2287,PHC,1,-1
2288,Random,-1,1
2289,PHC,1,-1
2290,PHC,1,-1
2291,PHC,1,-1
2292,Random,-1,1
2293,Random,-1,1
2294,PHC,1,-1
2295,PHC,1,-1
2296,PHC,1,-1
2297,PHC,1,-1
2298,PHC,1,-1
2299,Random,-1,1
2300,PHC,1,-1
2301,PHC,1,-1
2302,PHC,1,-1
2303,PHC,1,-1
2304,PHC,1,-1
2305,PHC,1,-1
2306,PHC,1,-1
2307,PHC,1,-1
2308,PHC,1,-1
2309,PHC,1,-1
2310,PHC,1,-1
2311,PHC,1,-1
2312,PHC,1,-1
2313,PHC,1,-1
2314,Random,-1,1
2315,PHC,1,-1
2316,Random,-1,1
2317,Random,-1,1
2318,PHC,1,-1
2319,PHC,1,-1
2320,Random,-1,1
2321,PHC,1,-1
2322,Random,-1,1
2323,PHC,1,-1
2324,PHC,1,-1
2325,PHC,1,-1
2326,PHC,1,-1
2327,PHC,1,-1
2328,PHC,1,-1
2329,PHC,1,-1
2330,PHC,1,-1
2331,Random,-1,1
2332,PHC,1,-1
2333,PHC,1,-1
2334,PHC,1,-1
2335,PHC,1,-1
2336,Random,-1,1
2337,Random,-1,1
2338,Random,-1,1
2339,Random,-1,1
2340,PHC,1,-1
2341,PHC,1,-1
2342,PHC,1,-1
2343,PHC,1,-1
2344,Random,-1,1
2345,PHC,1,-1
2346,PHC,1,-1
2347,PHC,1,-1
2348,PHC,1,-1
2349,Random,-1,1
2350,Random,-1,1
2351,Random,-1,1
2352,PHC,1,-1
2353,PHC,1,-1
2354,PHC,1,-1
2355,PHC,1,-1
2356,PHC,1,-1
2357,PHC,1,-1
2358,PHC,1,-1
2359,PHC,1,-1
2360,Random,-1,1
2361,PHC,1,-1
2362,PHC,1,-1
2363,PHC,1,-1
2364,PHC,1,-1
2365,PHC,1,-1
2366,PHC,1,-1
2367,PHC,1,-1
2368,PHC,1,-1
2369,PHC,1,-1
2370,PHC,1,-1
2371,PHC,1,-1
2372,PHC,1,-1
2373,Random,-1,1
2374,PHC,1,-1
2375,PHC,1,-1
2376,Random,-1,1
2377,PHC,1,-1
2378,Random,-1,1
2379,Random,-1,1
2380,PHC,1,-1
2381,PHC,1,-1
2382,PHC,1,-1
2383,PHC,1,-1
2384,PHC,1,-1
2385,PHC,1,-1
2386,PHC,1,-1
2387,Random,-1,1
2388,Random,-1,1
2389,PHC,1,-1
2390,PHC,1,-1
2391,PHC,1,-1
2392,PHC,1,-1
2393,PHC,1,-1
2394,PHC,1,-1
2395,PHC,1,-1
2396,PHC,1,-1
2397,Random,-1,1
2398,PHC,1,-1
2399,Random,-1,1
2400,PHC,1,-1
2401,PHC,1,-1
2402,Random,-1,1
2403,PHC,1,-1
2404,Random,-1,1
2405,PHC,1,-1
2406,PHC,1,-1
2407,PHC,1,-1
2408,Random,-1,1
2409,Random,-1,1
2410,PHC,1,-1
2411,Random,-1,1
2412,PHC,1,-1
2413,PHC,1,-1
2414,Random,-1,1
2415,PHC,1,-1
2416,PHC,1,-1
2417,PHC,1,-1
2418,PHC,1,-1
2419,Random,-1,1
2420,PHC,1,-1
2421,PHC,1,-1
2422,PHC,1,-1
2423,PHC,1,-1
2424,PHC,1,-1
2425,Random,-1,1
2426,PHC,1,-1
2427,PHC,1,-1
2428,PHC,1,-1
2429,PHC,1,-1
2430,PHC,1,-1
2431,Random,-1,1
2432,PHC,1,-1
2433,PHC,1,-1
2434,PHC,1,-1
2435,PHC,1,-1
2436,Random,-1,1
2437,PHC,1,-1
2438,Random,-1,1
2439,PHC,1,-1
2440,PHC,1,-1
2441,PHC,1,-1
2442,PHC,1,-1
2443,PHC,1,-1
2444,PHC,1,-1
2445,PHC,1,-1
2446,Random,-1,1
2447,Random,-1,1
2448,Random,-1,1
2449,Random,-1,1
2450,Random,-1,1
2451,Random,-1,1
2452,PHC,1,-1
2453,PHC,1,-1
2454,PHC,1,-1
2455,PHC,1,-1
2456,PHC,1,-1
2457,PHC,1,-1
2458,PHC,1,-1
2459,PHC,1,-1
2460,PHC,1,-1
2461,Random,-1,1
2462,PHC,1,-1
2463,PHC,1,-1
2464,PHC,1,-1
2465,PHC,1,-1
2466,PHC,1,-1
2467,Random,-1,1
2468,PHC,1,-1
2469,PHC,1,-1
2470,Random,-1,1
2471,Random,-1,1
2472,PHC,1,-1
2473,PHC,1,-1
2474,PHC,1,-1
2475,PHC,1,-1
2476,PHC,1,-1
2477,PHC,1,-1
