episode,winner,PHC,Random
571,Random,-1,1
572,Random,-1,1
573,PHC,1,-1
574,PHC,1,-1
575,PHC,1,-1
576,PHC,1,-1
577,PHC,1,-1
578,PHC,1,-1
579,Random,-1,1
580,PHC,1,-1
581,Random,-1,1
582,Random,-1,1
583,Random,-1,1
584,PHC,1,-1
585,PHC,1,-1
586,draw,0,0
587,PHC,1,-1
588,Random,-1,1
589,PHC,1,-1
590,PHC,1,-1
591,Random,-1,1
592,PHC,1,-1
593,PHC,1,-1
594,PHC,1,-1
595,PHC,1,-1
596,PHC,1,-1
597,Random,-1,1
598,Random,-1,1
599,PHC,1,-1
600,PHC,1,-1
601,Random,-1,1
602,Random,-1,1
603,PHC,1,-1
604,PHC,1,-1
605,PHC,1,-1
606,PHC,1,-1
607,Random,-1,1
608,PHC,1,-1
609,PHC,1,-1
610,PHC,1,-1
611,PHC,1,-1
612,PHC,1,-1
613,Random,-1,1
614,PHC,1,-1
615,Random,-1,1
616,Random,-1,1
617,PHC,1,-1
618,PHC,1,-1
619,PHC,1,-1
620,PHC,1,-1
621,PHC,1,-1
622,draw,0,0
623,PHC,1,-1
624,Random,-1,1
625,PHC,1,-1
626,Random,-1,1
627,PHC,1,-1
628,PHC,1,-1
629,Random,-1,1
630,PHC,1,-1
631,Random,-1,1
632,PHC,1,-1
633,Random,-1,1
634,PHC,1,-1
635,PHC,1,-1
636,Random,-1,1
637,PHC,1,-1
638,Random,-1,1
639,PHC,1,-1
640,PHC,1,-1
641,PHC,1,-1
642,Random,-1,1
643,PHC,1,-1
644,PHC,1,-1
645,Random,-1,1
646,Random,-1,1
647,PHC,1,-1
648,Random,-1,1
649,PHC,1,-1
650,PHC,1,-1
651,PHC,1,-1
652,PHC,1,-1
653,PHC,1,-1
654,Random,-1,1
655,Random,-1,1
656,Random,-1,1
657,PHC,1,-1
658,PHC,1,-1
659,PHC,1,-1
660,PHC,1,-1
661,PHC,1,-1
662,PHC,1,-1
663,Random,-1,1
664,PHC,1,-1
665,PHC,1,-1
666,PHC,1,-1
667,PHC,1,-1
668,Random,-1,1
669,PHC,1,-1
670,Random,-1,1
671,PHC,1,-1
672,Random,-1,1
673,PHC,1,-1
674,Random,-1,1
675,Random,-1,1
676,PHC,1,-1
677,PHC,1,-1
678,PHC,1,-1
679,PHC,1,-1
680,PHC,1,-1
681,PHC,1,-1
682,Random,-1,1
683,PHC,1,-1
684,Random,-1,1
685,Random,-1,1
686,PHC,1,-1
687,Random,-1,1
688,Random,-1,1
689,Random,-1,1
690,Random,-1,1
691,Random,-1,1
692,PHC,1,-1
693,PHC,1,-1
694,PHC,1,-1
695,PHC,1,-1
696,PHC,1,-1
697,Random,-1,1
698,PHC,1,-1
699,PHC,1,-1
700,PHC,1,-1
701,Random,-1,1
702,PHC,1,-1
703,Random,-1,1
704,PHC,1,-1
705,Random,-1,1
706,PHC,1,-1
707,PHC,1,-1
708,Random,-1,1
709,Random,-1,1
710,Random,-1,1
711,PHC,1,-1
712,Random,-1,1
713,Random,-1,1
